# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x00000080, 0x022808AA, -0.000251770019531, -0.000251770019531)
@(5, 0x00080000, 0x20200822, -0.000251770019531, -0.000251770019531)
@(5, 0x00080000, 0x20A808AA, -0.000251770019531, -0.000251770019531)
@(5, 0x000B0000, 0x208A802A, -0.000251770019531, -0.000251770019531)
@(5, 0x000B0000, 0x208A807F, -0.000251770019531, -0.000251770019531)
@(5, 0x000B0000, 0x208A80A2, -0.000251770019531, -0.000251770019531)
@(5, 0x000B0000, 0x208A80F7, -0.000251770019531, -0.000251770019531)
@(5, 0x000B0000, 0x208A852A, -0.000251770019531, -0.000251770019531)
@(5, 0x000B0000, 0x208A857F, -0.000251770019531, -0.000251770019531)
@(5, 0x000B0000, 0x208A85A2, 0.000251770019531, 0.000251770019531)
@(5, 0x000B0000, 0x208A85F7, 0.000251770019531, 0.000251770019531)
