PDF-compliant scoring report
Rule: valid iff VE in [VT-|VT|*2^(-2r), VT+|VT|*2^(-2r)], VE!=0, u!=0, v!=0
This solver computes VE and VT by exact sparse correlation composition, so VE = VT.

=== r = 1 ===
No  u           v           VE                 VT                 Score
136  0x0000B000  0x00000D00      0.500000000000      0.500000000000    1.0000
137  0x0000C000  0x00000400     -0.500000000000     -0.500000000000    1.0000
138  0x0000C000  0x00000600      0.500000000000      0.500000000000    1.0000
139  0x0000D000  0x00000800     -0.500000000000     -0.500000000000    1.0000
140  0x0000D000  0x00000C00     -0.500000000000     -0.500000000000    1.0000
141  0x0000E000  0x00000400     -0.500000000000     -0.500000000000    1.0000
142  0x0000E000  0x00000600     -0.500000000000     -0.500000000000    1.0000
143  0x0000F000  0x00000100      0.500000000000      0.500000000000    1.0000
144  0x0000F000  0x00000500      0.500000000000      0.500000000000    1.0000
145  0x00010000  0x00007007     -0.500000000000     -0.500000000000    1.0000
146  0x00010000  0x00008008      0.500000000000      0.500000000000    1.0000
147  0x00020000  0x00001001      0.500000000000      0.500000000000    1.0000
148  0x00020000  0x00005005     -0.500000000000     -0.500000000000    1.0000
149  0x00020000  0x00009009     -0.500000000000     -0.500000000000    1.0000
150  0x00020000  0x0000D00D     -0.500000000000     -0.500000000000    1.0000
151  0x00030000  0x00003003      0.500000000000      0.500000000000    1.0000
152  0x00030000  0x0000C00C      0.500000000000      0.500000000000    1.0000
153  0x00040000  0x00002002      0.500000000000      0.500000000000    1.0000
154  0x00040000  0x00007007      0.500000000000      0.500000000000    1.0000
155  0x00040000  0x0000A00A     -0.500000000000     -0.500000000000    1.0000
156  0x00040000  0x0000F00F      0.500000000000      0.500000000000    1.0000
157  0x00050000  0x00008008     -0.500000000000     -0.500000000000    1.0000
158  0x00050000  0x0000F00F      0.500000000000      0.500000000000    1.0000
159  0x00060000  0x00002002     -0.500000000000     -0.500000000000    1.0000
160  0x00060000  0x00003003      0.500000000000      0.500000000000    1.0000
161  0x00060000  0x0000A00A     -0.500000000000     -0.500000000000    1.0000
162  0x00060000  0x0000B00B     -0.500000000000     -0.500000000000    1.0000
163  0x00070000  0x0000B00B      0.500000000000      0.500000000000    1.0000
164  0x00070000  0x0000C00C      0.500000000000      0.500000000000    1.0000
165  0x00080000  0x00004004      0.500000000000      0.500000000000    1.0000
166  0x00080000  0x0000E00E      0.500000000000      0.500000000000    1.0000
167  0x00090000  0x00008008     -0.500000000000     -0.500000000000    1.0000
168  0x00090000  0x0000C00C      0.500000000000      0.500000000000    1.0000
169  0x000A0000  0x00004004     -0.500000000000     -0.500000000000    1.0000
170  0x000A0000  0x0000E00E      0.500000000000      0.500000000000    1.0000
171  0x000B0000  0x00009009     -0.500000000000     -0.500000000000    1.0000
172  0x000B0000  0x0000D00D      0.500000000000      0.500000000000    1.0000
173  0x000C0000  0x00004004     -0.500000000000     -0.500000000000    1.0000
174  0x000C0000  0x00006006      0.500000000000      0.500000000000    1.0000
175  0x000D0000  0x00008008     -0.500000000000     -0.500000000000    1.0000
176  0x000D0000  0x0000C00C     -0.500000000000     -0.500000000000    1.0000
177  0x000E0000  0x00004004     -0.500000000000     -0.500000000000    1.0000
178  0x000E0000  0x00006006     -0.500000000000     -0.500000000000    1.0000
179  0x000F0000  0x00001001      0.500000000000      0.500000000000    1.0000
180  0x000F0000  0x00005005      0.500000000000      0.500000000000    1.0000
181  0x00100000  0x07070000     -0.500000000000     -0.500000000000    1.0000
182  0x00100000  0x08080000      0.500000000000      0.500000000000    1.0000
183  0x00200000  0x01010000      0.500000000000      0.500000000000    1.0000
184  0x00200000  0x05050000     -0.500000000000     -0.500000000000    1.0000
185  0x00200000  0x09090000     -0.500000000000     -0.500000000000    1.0000
186  0x00200000  0x0D0D0000     -0.500000000000     -0.500000000000    1.0000
187  0x00300000  0x03030000      0.500000000000      0.500000000000    1.0000
188  0x00300000  0x0C0C0000      0.500000000000      0.500000000000    1.0000
189  0x00400000  0x02020000      0.500000000000      0.500000000000    1.0000
190  0x00400000  0x07070000      0.500000000000      0.500000000000    1.0000
191  0x00400000  0x0A0A0000     -0.500000000000     -0.500000000000    1.0000
192  0x00400000  0x0F0F0000      0.500000000000      0.500000000000    1.0000
193  0x00500000  0x08080000     -0.500000000000     -0.500000000000    1.0000
194  0x00500000  0x0F0F0000      0.500000000000      0.500000000000    1.0000
195  0x00600000  0x02020000     -0.500000000000     -0.500000000000    1.0000
196  0x00600000  0x03030000      0.500000000000      0.500000000000    1.0000
197  0x00600000  0x0A0A0000     -0.500000000000     -0.500000000000    1.0000
198  0x00600000  0x0B0B0000     -0.500000000000     -0.500000000000    1.0000
199  0x00700000  0x0B0B0000      0.500000000000      0.500000000000    1.0000
200  0x00700000  0x0C0C0000      0.500000000000      0.500000000000    1.0000
