PDF-compliant scoring report (Way-2 approximation) [Optimized v2]
Rule: valid iff |VE-VT| <= |VT|*2^(-2r), VE!=0, u!=0, v!=0

=== r = 1 ===
No  u           v           VE                 VT                 Score   Exact?
287  0x0000000F  0x50050000              0.5000              0.5000    1.0000  Y
288  0x0000000F  0x10010000              0.5000              0.5000    1.0000  Y
r=1: count=288, sum=288.0000, max=1.0000, min=1.0000, avg=1.0000

=== r = 2 ===
No  u           v           VE                 VT                 Score   Exact?
  1  0x10000000  0x00000AAA              0.2500              0.2500    2.0000  Y
  2  0x10000000  0x00000222              0.2500              0.2500    2.0000  Y
  3  0x10000000  0x00000CCC             -0.5000             -0.5000    3.0000  Y
  4  0x10000000  0x00000EEE              0.2500              0.2500    2.0000  Y
  5  0x10000000  0x00000DDD             -0.2500             -0.2500    2.0000  Y
  6  0x10000000  0x00000999              0.2500              0.2500    2.0000  Y
  7  0x10000000  0x00000555             -0.2500             -0.2500    2.0000  Y
  8  0x10000000  0x00000111              0.2500              0.2500    2.0000  Y
  9  0x10000000  0x00000666              0.2500              0.2500    2.0000  Y
 10  0x10000000  0x00000444              0.5000              0.5000    3.0000  Y
 11  0x20000000  0x00000888              1.0000              1.0000    4.0000  Y
 12  0x30000000  0x00000AAA              0.2500              0.2500    2.0000  Y
 13  0x30000000  0x00000666              0.2500              0.2500    2.0000  Y
 14  0x30000000  0x00000222              0.2500              0.2500    2.0000  Y
 15  0x30000000  0x00000CCC              0.5000              0.5000    3.0000  Y
 16  0x30000000  0x00000DDD             -0.2500             -0.2500    2.0000  Y
 17  0x30000000  0x00000999              0.2500              0.2500    2.0000  Y
 18  0x30000000  0x00000555             -0.2500             -0.2500    2.0000  Y
 19  0x30000000  0x00000111              0.2500              0.2500    2.0000  Y
 20  0x30000000  0x00000EEE              0.2500              0.2500    2.0000  Y
 21  0x30000000  0x00000444             -0.5000             -0.5000    3.0000  Y
 22  0x40000000  0x00000CCC              0.2500              0.2500    2.0000  Y
 23  0x40000000  0x00000999             -0.2500             -0.2500    2.0000  Y
 24  0x40000000  0x00000444              0.2500              0.2500    2.0000  Y
 25  0x40000000  0x00000EEE             -0.2500             -0.2500    2.0000  Y
 26  0x40000000  0x00000BBB              0.2500              0.2500    2.0000  Y
 27  0x40000000  0x00000666             -0.2500             -0.2500    2.0000  Y
 28  0x40000000  0x00000333              0.2500              0.2500    2.0000  Y
 29  0x40000000  0x00000111              0.7500              0.7500    3.5850  Y
 30  0x50000000  0x00000AAA              0.2500              0.2500    2.0000  Y
 31  0x50000000  0x00000222              0.2500              0.2500    2.0000  Y
 32  0x50000000  0x00000CCC             -0.2500             -0.2500    2.0000  Y
 33  0x50000000  0x00000DDD             -0.2500             -0.2500    2.0000  Y
 34  0x50000000  0x00000BBB              0.2500              0.2500    2.0000  Y
 35  0x50000000  0x00000555              0.7500              0.7500    3.5850  Y
 36  0x50000000  0x00000333              0.2500              0.2500    2.0000  Y
 37  0x50000000  0x00000444             -0.2500             -0.2500    2.0000  Y
 38  0x60000000  0x00000CCC              0.2500              0.2500    2.0000  Y
 39  0x60000000  0x00000111             -0.2500             -0.2500    2.0000  Y
 40  0x60000000  0x00000444              0.2500              0.2500    2.0000  Y
 41  0x60000000  0x00000EEE             -0.2500             -0.2500    2.0000  Y
 42  0x60000000  0x00000BBB              0.2500              0.2500    2.0000  Y
 43  0x60000000  0x00000666             -0.2500             -0.2500    2.0000  Y
 44  0x60000000  0x00000333              0.2500              0.2500    2.0000  Y
 45  0x60000000  0x00000999              0.7500              0.7500    3.5850  Y
 46  0x70000000  0x00000AAA              0.2500              0.2500    2.0000  Y
 47  0x70000000  0x00000222              0.2500              0.2500    2.0000  Y
 48  0x70000000  0x00000CCC             -0.2500             -0.2500    2.0000  Y
 49  0x70000000  0x00000DDD              0.7500              0.7500    3.5850  Y
 50  0x70000000  0x00000BBB              0.2500              0.2500    2.0000  Y
 51  0x70000000  0x00000555             -0.2500             -0.2500    2.0000  Y
 52  0x70000000  0x00000333              0.2500              0.2500    2.0000  Y
 53  0x70000000  0x00000444             -0.2500             -0.2500    2.0000  Y
 54  0x80000000  0x00000444             -0.2500             -0.2500    2.0000  Y
 55  0x80000000  0x00000111              0.2500              0.2500    2.0000  Y
 56  0x80000000  0x00000999              0.2500              0.2500    2.0000  Y
